config,train_start,train_end,test_start,test_end,theta_n,is_obj,oos_obj,retention,activity_fallback,oos_cagr,oos_max_dd,oos_sharpe,oos_n_switches
baseline_60_24_12,2017-11-30,2022-10-31,2022-11-30,2024-10-31,9,-0.5797822744281194,-0.1727993266465595,1.0,False,0.5975024490073562,-0.1727993266465595,1.2503489220193864,1
baseline_60_24_12,2018-11-30,2023-10-31,2023-11-30,2025-10-31,14,-0.40395215725475125,-0.19405928992696167,1.0,False,0.7442178694656398,-0.19405928992696167,1.3557311267113215,0
short_48_18_12,2017-11-30,2021-10-31,2021-11-30,2023-04-30,6,-0.547720298695188,-0.45023725098175965,1.0,False,-0.2289641937783985,-0.45023725098175965,-0.6305368655947529,4
short_48_18_12,2018-11-30,2022-10-31,2022-11-30,2024-04-30,9,-0.40395215725475125,-0.14944237918215608,1.0,False,0.6989871847063327,-0.14944237918215608,1.2930467785714812,1
short_48_18_12,2019-11-30,2023-10-31,2023-11-30,2025-04-30,14,-0.40395215725475125,-0.19405928992696167,1.0,False,0.9077429374279145,-0.19405928992696167,1.4129817991020694,0
